Label,Tweets
1,اتمني الحياه تساهل معايه لاني تعبت وانا اواجه كلو 
2,وبيستحي بعرف حبيبي بيستحي
2,يقول الزين مايكمل حلاه  شي حبيبي اكتمل اله الي كمله واله الي عطاه مابقي لزين خلي محل  مساء الخير
2,و قربك منقذي يؤذيني 
2,طاقه ايجابيه كبيره اله يكتب النجاح لجميع
1,تعبت الحياه اتمني الموت
1,معليش انا قدرت اتخطي افكاري الانتحاريه ف اكيد بقدر اتخطي
1,فيني ضيقه واحس ودي ابكي مش قادره حتي انا معرف
2,الدنيا حلوه بشوف عيونك الحلوه يامن غديت بحياتي مافيها 
1,جالسه امر بفتره صعبه بفتره احس معد اتحمل اي وجع يارب راحه شي
1,نسيت متي اخر مره نمت بدون م ابكي 
2,حب الاخ يفوق اتساع المدي ٰ الهم اخوي الهم سندي وضلعي الثابت 
1,ياربي محد يفهمني
1,اول ماصحي افكر باني انهي حياتي
1,حقيقي صرت اكره الدوام بشكل 
1,الحياه مو عادله ابدا
2,انا مب عنصري انا عقلاني
1,انا متاكده فيني انفصام امس كنت احب نفسي و كنت معجبه فيني و الحين جتني ضيقه كثر اكره نفسي واله استاهل حياتي لاني زق
2,ضحكت اوي لقيت الي كانوا معانا المنشاوي معانا الصدر 
2,جاي عبالي اقدحها موته قبل رمضان انكد ع اهلي و قرايبي وصحابي 
2,يارب شي الا حزن حبيبتي 
1,مو قادره انام وارتاح قادره اكون صاحيه وارتاح 
2,اتعبني القلق  استنفذني الغضب  ارهقني الاحباط  اضناني طول الطريق  وانتهيت بالا اكترث 
1,مو معقوله محد يكلمني ومهجوره
2,انك تبين عكس الي حاس بيه حاجه مرهقه جدا 
2,طاقه ايجابيه عاليه  امس خلصت المحاضرات واليوم فراغ رائع
2,راح تكتشف باخر المطاف ان محد يهتم لحزنك وهذا واله الحزن
1,ليش محد يكلمني لهدرجه شخصيتي مقرفه ومحد يحبني 
2,احبه واعرف ان سلطه الحب جباره تجيه العرب صاحين وتروح منهبله 
1,ياربي انت عارف ازاي تعبت الحياه عاوزه وعايزه اموت
1,صرت اكره اني اسولف لان محد يفهمني وتحول السوالف لمشاكل 
1,احس عشت الكفايه جربت شي مفروض انتحر 
2,وكيف احبها وهي فوق الحب تاخذني 
1,متيقنه تماما ان محد راح يحبني نفس انا
1,احتاج طاقه ايجابيه لاسابيع الجايه لان الوضع النفسي صفر 
2,انت اخشي ان تؤذيه الحياه فيتاذي قلبي 
1,الوحده قاعده تقتلني وانا بعز شبابي 
2,تكفي اطلاله نور وجهك ينهض جمر قلبي تحت الرماد
1,ماودي اداوم خلاص تعبت الحياه
1,نومي متقطع وغبي وهالشي كفيل انه يجعلني حزينه 
2,انتي حبيبتي الحظه الاولي 
2,واله اني احبني
1,ليه يحق انغمس الشيء احبه  شكلي انا اتفق اشيائي الي احبها احس بانتماء معدومه الانتماءات
1,يارب انسان يفهمني الداخل تكفن محد يفهمني وانا اتكلم ابيهم يفهمون اتكلم يعور عميقه
1,محد راح يفهمني او يحاول الاساس سبي الرئيسي العيش  اتوقع اي شخص اي شيء  اؤمن بنفسي فقط 
2,ضحكت  يعني قلبها مال 
2,خلي دروب الكل واختار دربك داريه تكفي مافيك داريه وابشر بقلبن يبي قربك يموت وغير محبتك ماسكن  
1,اليوم داهمتني نوبه بكاء مكان وقت غلط جدا ماقدرت امسك نفسي 
1,شعور انك وحيده كثروا الي حولك شين شين شين
1,احيانا يكون الموت الطريق الوحيد لهروب هموم الحياه تعتصرني فيارب عجل قضائك فاني اشتاق الي راحه ابديه تعبت
1,انا مكسوره واعتذر تظاهري بالقوه 
1,احيانا نريد نهايه سعيده لامر  نريد نهايه فقط 
2, اذا شفتك مقبله ترد روحي - ياه  يابعد روحي احس سعيده سعيده ياعمق الي قالته 
2,علي انه نومي صاير متقطع مبسوطه اني اكون صاحيه الصباح
1,لين ذحين محد قادر يفهمني النوم 
1,ناس فاهمين ان انتهاء العلاقات لازم تحول لانتقامات  ومشاكل وفضائح ي روحي مو فرصه سعيده وايام حلوه وانتهت 
1,نفسي مسدوده لحياه حرفيا
1,طبيعي ان مالي خلق شي لدرجه اني كاره نفسي و الناس 
1,اكره اهلي احس هدفهم بالحياه ان يسودون حياتي و يخلوني انسان زباله و كئيب و متشائم و متخلف نفسهم
2,يارب الطف بقلب صاحبتي ️
1,كاره البيت - كاره الدراسه - كاره نفسي
1,محد يناسبني محد يفهمني
2,الدنيا مسويه نفسها حلوه وانا مسوي نفسي مستانس وكل واحد يمشي ع الثاني
2,احبني
2,ادري مره اذيت اشخاص احبهم  فعلا محد يفهمني يعرف قصدي ادري الخل فيني تعبيري 
1,ده حبيبي عرفين يعني ايه حبيبي  يعني الدنيا عنيا واغلي الناس عليا 
1,واله الاحتكاك بالبشر صعب ابغا ارجع وحيده زي قبل 
2,احب اطلب اهلي مليون مره ياخي ابغي جوال خلاص مرا صاير يعلق
1,احتاج انعزل لحالي اي مكان وبعيد شيء لفتره 
2,الصدق احب اذا اهلي كلهم سافرو وبقيت لحالي البيت مره وناسه
2,ورضيت اعيشلك انت ياحبيبي كفايه ان انت حبيبي 
1,يارب بكرا يكون يوم حلو ويسعدني ️
2,ملاوع الهوي والخيبات تخليك شخص عقلاني بزياده 
2,انت مش صاحبي انت اخويا
1,روحي بقربها سعيده
1,وغدا ستنبت جبين الافق نجمات جديده وغدا ستورق ليالي الحزن ايام سعيده ️- فاروق جويده 
1,ليه محد يفهمني صح
1,اعوذ باله الايام كاره حياتي بشكل طبيعي 
1,ليش محد يكلمني بدا يضايقني الموضوع
1,انا حقيقي احتاج الا استشاري نفسيه اتكلم معاه لانو محد سار يفهمني عاد اقدر افضفض لاحد
1,انوم عشان م احس بالعبره ويصير نومي متقطع واصحي والقا العبره خانقتني زياده 
2,يكتمل يومي الا بقلوب راقيه اود ان اهمس انتم روعه المساء مساء هاديء و انفاس تحمل تفائل و يقين بان سيكتبه اله يوم خير 
2,محد متحمس لاحد كثري 
1,شكثر انا مكسوره جوا ياربي 
1,فقدت الثقه بالجميع بعدما فقدتها نفسي 
2,صديقتي  انتي نصفي الثاني و توام روحي 
1,احس مجتاجه احد افضفض محد يفهمني 
2,روحي اليوم سعيده  الحمدله ️
1,انا تعبت الحياه الدراسيه والاجتماعيه وكل شي
2,الاب كالماء اينما يزخ يروي و يحي عز كعز الاب حب حب الاب  الهم احفظ ابوي حبيبي و سندي و قوتي ️
1,اني فعليا تعبت شي حولي 
2,الهم استودعتك نفسي واهلي احب اجعلنا ودائعك ودائع اله لاتضيع 
1,جالسه امر بفتره صعبه فتره احتاج الناس الي حولي لاسف احد متفهم هالشي
1,انا بحاجه شيء يغذي الروح لان حاسه ان روحي باهته وذبلانه
2,غباء منك ان تكون حزين بسب شخص يعيش حياته بكل سعاده 
1,معد صار ضروري وجود اي احد بحياتي تعودت ازعل اكتم وافرح برضوا اكتم زعلي صار مهم احد وحتي سعادتي معد تهم احد 
2,حافظ النعم  احفظ اهلي احب ️
2,احكي بهمسك حبيبي توها تغفي جروحي 
1,الحياه مرهقه جدا
1,الي صار تغير شي واحد اني صرت معد ابغا انهي حياتي بنفسي صرت انتظرها تنهيني
2,ترا عادي مو لازم تردون ع تغريدات الناس  شوي يقولون غردو عدل وغردو عدل طيب مين قايل ان عندنا سوالف عدله 
1,صار و كان ابقي وحيد علي كثر الي حولي بسب محد يفهمني 
2,احبه الادمي راعي فكر ومنطق وماهو متشد مثل البعض
1,ليه محد يحبني
1,الحياه صايره كئيبه بشكل موبطبيعي 
1,بسم ﷲ اول شيء بتكلم الاكتئاب بصفه عامه بعدها راح اتكلم تجربتي  الاكتئاب يجيك فجاه بدون مقدمات بدايته بسيط جدا
2,علي طاري حب العيون اكثر عيون احبها عيونك 
1,احس مافيني طاقه ل شيء حرفيا 
2,الهم امي  يدي الثالثه  معجزتي الاولي  حبيبتي ورفيقتي  الهم امي امي فهو هين 
2,وجه الوم قلبي يوم حبه 
1,وربي التفكير مايفارق بلعن والديه مو قادره انام زي الخلق
1,اموت واعرف انا ليش محد يفهمني
2,انا الوحيده الي دايم اسولف و اكتب اي شي وكذا بعدين اخليها بالمسودات لان ادري ان كلامي وسوالفي محد يهتم
2,مؤلم ان تحزن المكان ابتسمت كثيرا 
2,طال هالبعد هاتوا صاحبتي البعيده 
2,ارهقني القلق والتفكير ياله  يارب ارح بالي
1,الي يعرفني يدعيلي انا بمر بحاله مش طبيعيه و نفسيتي مكسوره جدا  يارب هون 
1,تعبت الحياه وين اروح 
1,حاولت انتحر و الحمدله علي حال
2,سويت كيكه برتقال الخليط حقها ريحته تفتح النفس ماشاءاله ️️ متحمسه لنتيجه اخ ️
2,كلن متحمس لتاريخ         شسالفه وش بيصير علموني بتقوم القيامه 
2,يتعلم يعوم و معاه مشاكل عقليه  ه يلعن ابوك قوه
2,ماهو انا حبيبي  الاماكن كلها مشتاقه 
1,احس كان روحي مات وصارت باهته شي قادر يحيها جديد 
2,مو مهم تكون عاطفي او عقلاني كون انسان 
2,يوم حلو حيل واله 
2,اذا تقدر علي المطلوب بادر 
2,روحي سعيده بقربك ️
2,يرب بكره يكون يوم حلو زي حلاوه ضحكتها
2,احس اليوم فعلا انا حياه فسالفه الاكل  قهوه ودونات الصباح  وشاي قبل شوي الحمد والشكر احبني وانا اتعيجز اطبخ شي لحالي ️️
1,واله اني استاهل اشياء حلوه بحياتي الدنيا مادري شفيها علي 
1,ليش احس اني تعبت الحياه وكانها عادت تعني
2,الهم قلبها لايمسه ضر ولاتبكي عينها علمي يارب شي الا ضيقه صاحبتي يارب 
1,انا شخص وحيد كنت طفله حتي علاقاتي الاسريه كانت سيئه ماكنت احس احد يفهمني او يتفهم
1,اكره الجامعه اكره الدوام اكره بنات جامعتي بكي الضغط بكي
1,احتاج انعزل العالم كله 
2,حياتي بكبرها ضايعه وقفت علي كتب  ه
1,اكره كون محد يفهمني
1,طريقه سكوتي مخيفه احس روحي باهته ومنطفئه ومافي اي شيء قادر يبسطني ابغا اكون بعيده البعد العالم السخيف
1,صار اسبوعين مو قادره انام العصر انام باليل الا ساعه
2,ودي اقول ان قلبي تعلق بقلبه ودي اصارحه واقوله اني حيل احبه 
1,ليه الحياه مو عادله 
2,اي الشوطه دي انا ضحكت 
2,الدنيا مش حلوه حكيك حبيبي 
1,حاسه ان روحي باهته ونفسيتي حاله تدهور 
1,واله تعبت الحياه
1,احس تكلمت محد راح يفهمني عشان دايم اسكت علي الي مضايقني وانام 
1,انا تقتلني الوحده و يجتاحني المل و تعبث الذكريات 
1,مرهقه جدا جسديا فقط  ايضا شيء بداخلي اكاد افهمه رباه اسالك الراحه ل قلب اتعبه مايحدث 
2,عندي ايمان تام قبل اجرب قهوه ارابيكا ان الي بالكويت احسن بواجد وفعلا طلع صح
2,غيابك هزني برياح حزينه قربك فيني برياح سعيده
2,احب مجالسه الاشخاص يتركوني حاله دفاع دائمه  ادافع افكاري  ادافع مقاصدي  ادافع نفسي  ادافع احب  ادافع حقي 
2,التفت لمن يبقي مستيقظا بجانبك ' شخص يتاكد انك ابتسمت اليوم  شخص يبذل جهدا اجلك يحدثك بالكلام بالفعل 
1,واله مدري شقول اني تعبت الحياه الي
2,احب قرب ٓ ك احب وقتي فيك 
1,احبه حيل تهقون يحبني ربع هالحيل 
2,بصيح مره سولفت وحده و جلست تقول ان ابوي راح الشركه قمت ضحكت و قلت جاسم باق الشركه  قالت ايش  قلت امزح قالت لحظه ايش قصدك و مين جاسم 
2,روحي سعيده معك
2,قاعد اسوي اشياء حلوه بحياتي عشان تدور الدنيا وترجع شكلها الدنيا لفت سيده
2,توام الروح ‌ فرح روحي
1,سئمت الحياه بكل وعافرت بكل اوتيت قوه الا اني تعبت وتعبت وتعبت يارب فرجا قريب او لقاء قريب 
1,اقول اشرح يطلع الغلط مني بدون محد يفهمني 
2,الهم تجعل ابتلائي ديني جسدي اهلي مالي احب وارضي عني يارب
2,احبها  والشاهد اله
1,اه قايز احس فيني كتمه بقلبي احتاج اني اطلع العالم بسرعه الشي الي احس مره صعب ماينوصف 
1,انا تعبت شي تعبت الحياه
1,الهم جبرا ل قلب صاحبي يتعجب اهل الارض والسماء
2,يارب تفهم اني احبها
2,جماعه شوفو حل ايش الفك الموطبيعي صبر الارض
1,بطبعي اعشق الصمت  بداخلي لغه لايفهمها الا احبني بصدق 
2,قلبي الي تزاعلنا  ماذيني مايعذره جرب شعور الوحده عاد تدري فراقك وش مسوي فيني كان واله تفارقني دقيقه وحده 
1,كانت امنيتي يكون عندي اصدقاء زالت الوحده تقتلني 
2,مختلف الجميع لذلك احبه 
1,لماذا اصبح الفرح علي لعنه 
2,استطيع التوقف الاحساس باني مجرد  خطا 
2,اله يبيض وجه الايام ياسعود خلتني اعرف صاحبي عدوي
1,اكره انضغط الدوام و انضغط برا الدوام ابا ابكي
2,صعب تلاقي انسان عقلاني ملهوش تجارب سابقه  فالقوه كسر داخلي تجسد ع هيئه غضب 
1,ايش الحياه دوام لدوام لنوم لدوام لدوام لنوم لدوام لدوام وربي تعبت 
1,تعبت هالضيقات الغريبه واسلوب الحياه الي اعيشها الماضي وتاثيره وتقلبات مزاجي واخاف المستقبل تعبت شخصيتي هالرهاب شي 
1,فعليا جالسه افكر انهي حياتي
1,لقد ارهقني القلق حتي اعتدت 
1,الحياه مو عادله معي لدرجه ودي اموت
1,الي يقنعني ان يوم السبت حلو الي يبي 
1,وشلون ابضحك دام قلبي منجرح ليه اتصنع و الهموم مسامره اذكر اني ابتسمت الفرح ابتسم صورتني الكامره
1,حدي منبوذه محد يكلمني ولحد يسولف وياي و ولحد يسالني احوالي 
1,احب افضفض لنفسي لانه محد يفهمني كثري 
2,حلوه الدنيا تجيب نا حابين قربك بصدق 
2,يلا معليه الدنيا حلوه 
2,الناس الطبيعيه تبي تخلص دوامها و ترجع بيوتها ترتاح الا انا اكره وقت الدوام يخلص و اكره ارجع البيت بسب امي
1,بعدما عاهدت نفسي عهدا بالا اخوض الحب مجدا كلفني الامر وتكلفت  ابتسمت  وكل ماقيل بدايه الجمله الغي
1,الهم احفظ وجود امي وابوي احب وان طال الدعاء الهم اهلي بكل يوم 
1,انا باخد مضادات اكتئاب و حاولت انتحر
2,نفسي الاقي احد اطلعلو الي فقلبي و يفهمني محد يفهمني فلحياه دي محد 
2,بكره يارب يصير يوم حلو ️
1,المقيمون طويلا يسلبون مقاعدنا  يحولون اثاث بيوتنا الي قطع منهم  بحيث نجلس  اذا جلسنا  علي ضلوعهم  علي عظامهم وديع سعاده 
2,احبك  اعطيك قلبي  تحبيني  قولي احبك
2,احب شيئا العالم الكئيب بقدر احبت شعور الطمانينه يهديني اياه قربك
2,ربي ان مسافر احبه دقات قلبي الهم اني استودعك اياه ف احفظه بعينك تنام ♡
2,يوم تخيلتك امتلت دنياي غيوم و ابتسمت وصارت الدنيا مطر 
2,مو طبيعي وش كثر ذمعت كلام ايمان 
1,مستحيل احس الولاء لاي شخص بوقت حزني محد يفهمني ومالي خلق اشرح اله يخلي نفسي الي تواسيني
1,تعبت معاركه الحياه واله تعبت 
2,لقد اخذ يناير اخذ امل ان يكون فبراير سعيد لوطني والعالم اجمع
1,يزعلني الاوسيدي و تراضيني افكاري الانتحاريه
1,صاحبي غيبتگ قمت احسب انهه اليوم اسبوع 
1,واله اكره شعور النفسيه الفجائيه الي تخليني ماكمل قهوتي الي ابكي فجاه بدون سب
2,واني يارب وليتك مافي قلبي
2,ان الاب كالماء اينما يزخ يروي و يحي عز كعز الاب حب حب الاب الهم احفظ ابي حبيبي و سندي و قوتي 
1,احس ان اليوم متعب ومرهق
1,انا خايفه يجي يوم محد يفهمني فعلا
2,حبيبي اه بعدك طوتني جمره النسيان 
1,حاولت انتحر و ماقدرت قلبي طاوعني 
2,الو هاي حبيبي البارحه شلونك 
2,احس قلبي عندها وقلبها عندي
2,بليز اتخلوني اعصب احبني و انا امعصبه ️
2,تساؤل اليله وكل ليله فعلا احبني 
2,انا حبيبي بسمته تخجل الضي
2,يعني انا بكسل ارد ع قرايبي بيطمنوا عليا تفتكر تبعتلي رساله طويله عريضه تعاتبني بيها هرد بحاجه اسف واريح دماغي 
1,تجيك نوبه بكاء وتحس انك عديم فائده مادري ليه الاحاسيس احس تعبت نفسيتي
1,احتاج سنه انعزل العالم 
1,باقي انتحر و انهي حياتي 
1,دائما اتاكد اني انسانه غريبه لدرجه محد صار يفهمني اطمح ان احد يفهمني ويسوي يعرفني لان دايم ابين عكس الي احس
2,احب اختي الصغيره مره وربي الحسنه الوحيده اهلي
1,يارب عدي هالشهور علي خير احس خلاص مافيني طاقه 
1,حاولت انتحر اكتر مره كنت مره بخاف علي حزن اهلي و ان مكن اكون سب تعاستهم
1,نكره التقليد حتي كنتي صاحبتي نسمحلكش بالشي
2,اذا ابتسمت الكون معك يتبسم
2,يوم كروي جميل 
2,يوم يزيد يقيني انه معرف اتعامل الاطفال 
2,مقصودتي و قصيدتي حبيبتي و اشعاري
1,باقي يوم علي صار شي حلو فهالتاريخ اعرفكم تعرفوني 
1,ليش دايم انا نفسيه عندي حياه صدق محد يهتم 
2,يارب تعدي الفتره بخيرها وشرها علي خير 
1,بعطيكي قلبي الثاني الاول راح بعيد 
1,ربما تهديني حياتي قصه رائعه نهايه سعيده لكني لازلت اشعر الافق قدر جميل مختبئ اعرفه
2,يكتب تقارير الغلا وقت الاشراق وعند المسا يعطيك باقي كشوفه جامع حنيه الكون باخلاق معذور قلبي يضمك بجوفه
2,جين الشيف المحترف ه بنتحر يضحكني و ثقته الزايده 
1,تعبت كثر التفكير ارهقني القلق
2,طحت بهواها توي  اتعب و اقول جوي  غصبا علي احبها شسوي ️
2,الهم اني استودعتك اعز علي نفسي  الهم احفظ اهلي احب بعينك تنام ️
2,انتي عظيمه داخلي اختي حبيبتي تؤام روحي صديقتي وطني الحياه 
2,يوم بدايته حلو الصوني يخربوه عيال اختك وشحن لابتوب راح وسيارتك ياخذها باتك ويطلع بيها 
2,حبيبتي  و ملهمتي  و اصحابي  و الحياه ️
2,انا اول المقصرين  لكني احب القرب منك اله تحرمني قربك طاعتك 
2,نزار قباني استسلامه اعترف بحبه وقال  عمياء انت الم تري قلبي تجمع عيوني 
1,ماعنذي طاقه احافظ علي علاقات قديمه او اكون علاقات جديده فيعني بهرب لوحدي كده دايما قلت مبسوطه بقولك ايوه علشان انا مش قادره اتكلم
2,مافهم صراحه  دقايق نايمه وبعدين واله صارت امنيه بحياتي ان نومي مايكون متقطع يع
1,“ تعبت الحياه بلا حياه  و تعبت صمتي  و صوتي ”
1,القلق ارهقني الهم ارحم ضعفي وقله حيلتي ودبرتي
2,احب نوني ونوني حبيبتي ونوني تاج راسكم واي احد يزعلها زق وابن زق
1,نومي متقطع هالايام وفوق مانمت الا ثلاث ساعات وصحيت مصدعه ابغي اقتل نفسي
1,انا اعيش فتره محد صار يفهمني نهائيا الداخل
2,ابي قربك وابيك بدنيتي تبقي 
1,المشكله محد صار يفهمني
2,اتوقع انا الوحيد الي متحمس لدوام بكره
1,يع ليش محد يفهمني ليش مستصغرين حزني
2,انا سجلت الترم ده ف جروب   ويارب اكون سعيد معاكم 
1,لماذا اشعر بان روحي باهته جدا وبمرور يوم والاخر يزداد البهت 
2,متفائله بكرا احس حيكون يوم مرا حلو
2,محاولتك لمنع احد الرحيل مرهقه جدا
2,انت النعمه العظيمه الي مايوصفك كلام ويعجز وصفك شعور الطف حظوظي انك تؤام روحي 
1,انا مكسوره داخل
1,ثاني مره حاولت انتحر بمسدس خفت اموت طلقه وحده
2,انا حبيبي نور المدينه '
2,قربك يصنع جوف الحزن فرحه
2,يع القلق مسيطر علي
2,المدرسه مو حلوه ايمان
2,قلت قربك عافيه توعدني تغيب 
2,وانت قربك سعاده وانت بعدك عذاب 
2,نصيحه  خلي دائما عندك ايمان وامل عشان ايمان تركتك امل تسندك 
2,صاحبي الاحب ورضي روحي ️
2,مفيش سكوت وضلمه جوا روحي
1,تعبت و انا محد يفهمني
1,ابي اموت وانا وحيده
2,ومره ثانيه  كرهت وحده الاغاني الي كنت احبها بسبها 
1,ليش نومي كله متقطع ️ خاطري انام نومه حقيقيه متواصله بدون اقعد اطعش مليون مره 
1,سعيده 
2,احبه مالي علي وصله قوايا واحبه تبطي الايام عني
1,احس قلبي حزين وابي ابكي وكل بدون سب 
1,ياريت الدنيا حلوه متل ضحكتك 
2,الهم اني اعوذ ان اكسر او اكسر او اخذل او اخذل او اصاب بخيبه فاحزن  الهم اني استودعتك قلبي وليتك شعوري وامري فانت الطف 
1,محد يفهمني حزين ورب البيت
1,عندي اعتراف انا مرتين حاولت انتحر
2,التعليق عرفت وش كثر النهار طويل  كثر الغفوات الي اخذها 
2,غيب اله وجهك الي احبه 
1,احب الانعزال واخشي ان ابقي وحيده 
2,علي اني غلطانه برت لنفسي وتكلمت وقلت كلام وابعدت جميع الشكوك عني واحب اقول اني احبني كثير ️
1,ليش محد يجبني  ليش كلهم يكرهوني  ليش حياتي زق  متي بصبر  متي بعيش نفس الاوادم  متي بيتهدل وضعي  خلاص لاعت جبدي  متي اموت 
2,احتاج طاقه ايجابيه اني بداوم بكرا 
1,احسني جايه كوكب ثاني محد يفهمني افهم احد افهمني
1,الدنيا سوداء بعيني بشكل مب قادره اتحمله
2,ماني حبيبه لكني بالحيل احبه
2,انا ادري اني بقلبها وحدي علشان احبها اكثر 
2,ي جماعه البلايلي يسوي شي يشوف الباب يصير سعيد المولد ايش 
1,مسدوده نفسي حاجه لدرجه بيدي تنفست حتي 
1,الاشياء الي احبها صارت تافه
1,واله اقدر انهي حياتي كان سويتها زمان
2,قلبي رهيف
2,كالعاده نومي متقطع 
